date,price
2006-08-05,499.552238806
2006-08-06,474.211111111
2006-08-07,465.93697479
2006-08-08,490.014218009
2006-08-09,509.489473684
2006-08-10,466.373540856
2006-08-11,514.613207547
2006-08-12,441.298165138
2006-08-13,500.09
2006-08-14,481.731601732
2006-08-15,504.018348624
2006-08-16,505.19047619
2006-08-17,502.064814815
2006-08-18,498.482889734
2006-08-19,527.487922705
2006-08-20,520.761904762
2006-08-21,494.86381323
2006-08-22,532.75
2006-08-23,528.282700422
2006-08-24,506.69379845
2006-08-25,496.934362934
2006-08-26,500.053097345
2006-08-27,551.731707317
2006-08-28,544.330275229
2006-08-29,547.612612613
2006-08-30,502.992
2006-08-31,497.330578512
2006-09-01,517.420454545
2006-09-02,507.281632653
2006-09-03,546.113402062
2006-09-04,504.0951417
2006-09-05,534.30941704
2006-09-06,532.797297297
2006-09-07,532.39254386
2006-09-08,508.680769231
2006-09-09,513.122093023
2006-09-10,527.087378641
2006-09-11,498.514056225
2006-09-12,532.38317757
2006-09-13,534.950207469
2006-09-14,525.58685446
2006-09-15,539.753554502
2006-09-16,523.548717949
2006-09-17,516.15
2006-09-18,534.757425743
2006-09-19,535.217821782
2006-09-20,514.050691244
2006-09-21,526.265625
2006-09-22,522.93814433
2006-09-23,507.234939759
2006-09-24,531.469135802
2006-09-25,522.12371134
2006-09-26,507.796296296
2006-09-27,528.438423645
2006-09-28,485.441860465
2006-09-29,502.640243902
2006-09-30,502.559055118
2006-10-01,504.375
2006-10-02,510.454545455
2006-10-03,526.401098901
2006-10-04,516.005181347
2006-10-05,530.732057416
2006-10-06,518.528350515
2006-10-07,530.220858896
2006-10-08,523.571428571
2006-10-09,524.028985507
2006-10-10,532.433673469
2006-10-11,537.402912621
2006-10-12,531.623115578
2006-10-13,536.338888889
2006-10-14,510.273972603
2006-10-15,511.734042553
2006-10-16,524.502923977
2006-10-17,536.664864865
2006-10-18,492.9543379
2006-10-19,542.042328042
2006-10-20,498.908018868
2006-10-21,532.526315789
2006-10-22,528.428571429
2006-10-23,527.496296296
2006-10-24,535.401515152
2006-10-25,547.196153846
2006-10-26,551.575418994
2006-10-27,545.273542601
2006-10-28,542.534351145
2006-10-29,561.670731707
2006-10-30,542.784552846
2006-10-31,541.339622642
2006-11-01,552.939271255
2006-11-02,557.678030303
2006-11-03,548.140495868
2006-11-04,590.104166667
2006-11-05,575.658536585
2006-11-06,553.85
2006-11-07,576.512953368
2006-11-08,531.416030534
2006-11-09,527.818604651
2006-11-10,501.733606557
2006-11-11,547.410071942
2006-11-12,564.069767442
2006-11-13,543.815
2006-11-14,597.025477707
2006-11-15,522.286458333
2006-11-16,510.644578313
2006-11-17,509.147783251
2006-11-18,548.748466258
2006-11-19,547.712643678
2006-11-20,558.445121951
2006-11-21,546.098265896
2006-11-22,545.195402299
2006-11-23,561.045751634
2006-11-24,555.73964497
2006-11-25,551.929936306
2006-11-26,529.830769231
2006-11-27,520.886010363
2006-11-28,567.945454545
2006-11-29,487.020512821
2006-11-30,510.408695652
2006-12-01,532.073619632
2006-12-02,559.891428571
2006-12-03,548.525641026
2006-12-04,546.331683168
2006-12-05,528.352657005
2006-12-06,549.113537118
2006-12-07,532.157407407
2006-12-08,551.191588785
2006-12-09,569.126760563
2006-12-10,573.774647887
2006-12-11,563.314720812
2006-12-12,595.628865979
2006-12-13,647.125827815
2006-12-14,602.190697674
2006-12-15,665.904761905
2006-12-16,655.736842105
2006-12-17,632.272727273
2006-12-18,634.945606695
2006-12-19,639.543478261
2006-12-20,639.033472803
2006-12-21,650.978354978
2006-12-22,657.252136752
2006-12-23,666.530487805
2006-12-24,706.024096386
2006-12-25,692.458333333
2006-12-26,663.096330275
2006-12-27,685.03255814
2006-12-28,680.389140271
2006-12-29,728.427272727
2006-12-30,710.284530387
2006-12-31,731.25
2007-01-01,770.234782609
2007-01-02,698.654205607
2007-01-03,699.762589928
2007-01-04,718.538135593
2007-01-05,748.807511737
2007-01-06,777.815533981
2007-01-07,849.163043478
2007-01-08,860.977272727
2007-01-09,851.195488722
2007-01-10,867.084388186
2007-01-11,858.508196721
2007-01-12,888.720183486
2007-01-13,858.120689655
2007-01-14,914.683544304
2007-01-15,890.448275862
2007-01-16,898.342105263
2007-01-17,913.052830189
2007-01-18,927.190114068
2007-01-19,993.940350877
2007-01-20,952.865979381
2007-01-21,973.803738318
2007-01-22,927.847826087
2007-01-23,926.02811245
2007-01-24,971.731800766
2007-01-25,953.788461538
2007-01-26,997.77027027
2007-01-27,961.03030303
2007-01-28,1011.28735632
2007-01-29,968.253968254
2007-01-30,1011.69852941
2007-01-31,960.033653846
2007-02-01,970.69527897
2007-02-02,1014.32596685
2007-02-03,994.169154229
2007-02-04,1027.74242424
2007-02-05,1055.93862816
2007-02-06,1166.47445255
2007-02-07,1178.18666667
2007-02-08,1104.6743295
2007-02-09,1107.93884892
2007-02-10,1091.53888889
2007-02-11,1174.47777778
2007-02-12,1139.2183908
2007-02-13,1110.22907489
2007-02-14,1167.56682028
2007-02-15,1090.41365462
2007-02-16,1207.20149254
2007-02-17,1061.96774194
2007-02-18,1192.46315789
2007-02-19,1068.62453532
2007-02-20,1111.38425926
2007-02-21,1132.26388889
2007-02-22,1045.20996441
2007-02-23,1045.4966443
2007-02-24,1008.67680608
2007-02-25,1059.76923077
2007-02-26,962.163701068
2007-02-27,935.918439716
2007-02-28,992.302884615
2007-03-01,950.847161572
2007-03-02,942.448430493
2007-03-03,855.481283422
2007-03-04,878.5
2007-03-05,873.988047809
2007-03-06,883.742160279
2007-03-07,910.981751825
2007-03-08,894.775735294
2007-03-09,927.007936508
2007-03-10,857.928888889
2007-03-11,945.691489362
2007-03-12,901.701612903
2007-03-13,876.404109589
2007-03-14,877.160377358
2007-03-15,865.967741935
2007-03-16,821.521276596
2007-03-17,888.224299065
2007-03-18,901.378640777
2007-03-19,903.961340206
2007-03-20,889.434210526
2007-03-21,878.327645051
2007-03-22,829.492907801
2007-03-23,783.430976431
2007-03-24,780.449122807
2007-03-25,848.19
2007-03-26,816.449781659
2007-03-27,835.19375
2007-03-28,798.724696356
2007-03-29,802.925925926
2007-03-30,790.365145228
2007-03-31,803.381679389
2007-04-01,780.716814159
2007-04-02,777.193236715
2007-04-03,734.690647482
2007-04-04,697.348837209
2007-04-05,715.244604317
2007-04-06,739.333333333
2007-04-07,683.810204082
2007-04-08,745.333333333
2007-04-09,717.465909091
2007-04-10,732.068259386
2007-04-11,704.098540146
2007-04-12,696.913533835
2007-04-13,692.035714286
2007-04-14,705.727272727
2007-04-15,721.034782609
2007-04-16,677.097276265
2007-04-17,678.477178423
2007-04-18,656.64453125
2007-04-19,666.310861423
2007-04-20,654.146938776
2007-04-21,645.656862745
2007-04-22,637.160714286
2007-04-23,626.583643123
2007-04-24,604.565789474
2007-04-25,626.075539568
2007-04-26,635.542035398
2007-04-27,608.598393574
2007-04-28,615.615740741
2007-04-29,616.666666667
2007-04-30,630.626943005
2007-05-01,623.269035533
2007-05-02,621.894230769
2007-05-03,608.162361624
2007-05-04,639.251984127
2007-05-05,604.878504673
2007-05-06,600.234782609
2007-05-07,581.014652015
2007-05-08,593.309055118
2007-05-09,582.093632959
2007-05-10,574.549488055
2007-05-11,579.543402778
2007-05-12,568.021052632
2007-05-13,570.232758621
2007-05-14,545.643426295
2007-05-15,549.094444444
2007-05-16,517.524590164
2007-05-17,535.259398496
2007-05-18,573.140625
2007-05-19,557.441798942
2007-05-20,560.073684211
2007-05-21,538.421171171
2007-05-22,547.494764398
2007-05-23,527.788381743
2007-05-24,531.657777778
2007-05-25,535.070539419
2007-05-26,508.555
2007-05-27,525.101123596
2007-05-28,552.848648649
2007-05-29,552.933649289
2007-05-30,543.059405941
2007-05-31,556.186111111
2007-06-01,528.510162602
2007-06-02,551.937219731
2007-06-03,561.535433071
2007-06-04,569.657894737
2007-06-05,556.631205674
2007-06-06,549.468646865
2007-06-07,586.335820896
2007-06-08,572.955592105
2007-06-09,578.005263158
2007-06-10,605.991735537
2007-06-11,594.148409894
2007-06-12,628.33984375
2007-06-13,600.077441077
2007-06-14,616.893333333
2007-06-15,617.580204778
2007-06-16,632.114035088
2007-06-17,656.598214286
2007-06-18,677.245833333
2007-06-19,648.870307167
2007-06-20,718.229787234
2007-06-21,722.261648746
2007-06-22,723.762962963
2007-06-23,690.960264901
2007-06-24,797.369369369
2007-06-25,774.596958175
2007-06-26,788.535315985
2007-06-27,776.580524345
2007-06-28,785.871886121
2007-06-29,813.650406504
2007-06-30,826.481081081
2007-07-01,851.546218487
2007-07-02,824.234848485
2007-07-03,839.622710623
2007-07-04,814.435714286
2007-07-05,834.794223827
2007-07-06,863.296
2007-07-07,827.703007519
2007-07-08,897.057377049
2007-07-09,894.408510638
2007-07-10,871.142348754
2007-07-11,859.232727273
2007-07-12,896.282051282
2007-07-13,885.566539924
2007-07-14,883.871345029
2007-07-15,904.299145299
2007-07-16,879.09486166
2007-07-17,887.014285714
2007-07-18,871.83557047
2007-07-19,870.780730897
2007-07-20,874.506060606
2007-07-21,908.672340426
2007-07-22,912.455284553
2007-07-23,889.992337165
2007-07-24,891.675373134
2007-07-25,885.549828179
2007-07-26,815.863481229
2007-07-27,868.796825397
2007-07-28,897.252525253
2007-07-29,953.038834951
2007-07-30,906.71641791
2007-07-31,814.886861314
2007-08-01,898.551724138
2007-08-02,895.185810811
2007-08-03,895.051446945
2007-08-04,872.263843648
2007-08-05,945.067669173
2007-08-06,913.592783505
2007-08-07,931.245098039
2007-08-08,904.281690141
2007-08-09,911.659638554
2007-08-10,914.964285714
2007-08-11,920.29535865
2007-08-12,968.362204724
2007-08-13,950.1886121
2007-08-14,955.814545455
2007-08-15,974.412280702
2007-08-16,972.073972603
2007-08-17,1052.62539683
2007-08-18,1055.26111111
2007-08-19,1142.93333333
2007-08-20,1182.14563107
2007-08-21,1170.1196319
2007-08-22,1174.30769231
2007-08-23,1231.53820598
2007-08-24,1219.51547988
2007-08-25,1257.57480315
2007-08-26,1313.96261682
2007-08-27,1257.348659
2007-08-28,1302.96
2007-08-29,1281.84251969
2007-08-30,1300.72242647
2007-08-31,1298.78663793
2007-09-01,1306.4159292
2007-09-02,1279.26206897
2007-09-03,1323.55102041
2007-09-04,1298.15315315
2007-09-05,1282.16171617
2007-09-06,1317.33663366
2007-09-07,1346.35661765
2007-09-08,1304.58130081
2007-09-09,1281.51851852
2007-09-10,1260.01083032
2007-09-11,1357.03861004
2007-09-12,1263.83480826
2007-09-13,1295.55519481
2007-09-14,1293.99367089
2007-09-15,1368.33495146
2007-09-16,1331.75735294
2007-09-17,1272.12323944
2007-09-18,1272.16363636
2007-09-19,1249.23495702
2007-09-20,1312.28445748
2007-09-21,1327.83333333
2007-09-22,1372.92741935
2007-09-23,1378.12195122
2007-09-24,1379.31052632
2007-09-25,1440.88014981
2007-09-26,1384.45979021
2007-09-27,1426.3537415
2007-09-28,1375.88013699
2007-09-29,1438.11885246
2007-09-30,1532.19047619
2007-10-01,1536.59777778
2007-10-02,1621.81818182
2007-10-03,1474.93515358
2007-10-04,1508.49295775
2007-10-05,1478.90460526
2007-10-06,1551.9958159
2007-10-07,1570.85
2007-10-08,1467.24912281
2007-10-09,1483.54452055
