date,price
2006-08-06,614.0
2006-08-07,635.689361702
2006-08-08,640.58649789
2006-08-09,636.251184834
2006-08-10,632.032
2006-08-11,639.811715481
2006-08-12,623.534031414
2006-08-13,624.452991453
2006-08-14,637.046296296
2006-08-15,596.642276423
2006-08-16,623.397849462
2006-08-17,629.67219917
2006-08-18,655.22310757
2006-08-19,639.784140969
2006-08-20,624.58974359
2006-08-21,648.384313725
2006-08-22,645.643410853
2006-08-23,634.664122137
2006-08-24,637.5703125
2006-08-25,637.037254902
2006-08-26,640.791855204
2006-08-27,621.560747664
2006-08-28,640.0875
2006-08-29,656.316532258
2006-08-30,653.358333333
2006-08-31,655.751012146
2006-09-01,662.077380952
2006-09-02,651.023206751
2006-09-03,644.314049587
2006-09-04,637.742857143
2006-09-05,652.611344538
2006-09-06,649.674180328
2006-09-07,665.691176471
2006-09-08,670.704
2006-09-09,654.195121951
2006-09-10,665.664
2006-09-11,681.55
2006-09-12,683.434042553
2006-09-13,683.988416988
2006-09-14,667.314049587
2006-09-15,681.119341564
2006-09-16,681.484716157
2006-09-17,661.496
2006-09-18,685.678571429
2006-09-19,695.385650224
2006-09-20,686.822510823
2006-09-21,700.536866359
2006-09-22,705.122171946
2006-09-23,697.431122449
2006-09-24,694.326923077
2006-09-25,697.679039301
2006-09-26,712.969162996
2006-09-27,714.587336245
2006-09-28,713.421658986
2006-09-29,784.446236559
2006-09-30,822.020833333
2006-10-01,881.614457831
2006-10-02,804.482758621
2006-10-03,799.63681592
2006-10-04,713.557603687
2006-10-05,729.584745763
2006-10-06,744.671232877
2006-10-07,742.570652174
2006-10-08,727.801587302
2006-10-09,755.985576923
2006-10-10,730.852017937
2006-10-11,747.762820513
2006-10-12,745.089519651
2006-10-13,743.311004785
2006-10-14,720.222222222
2006-10-15,730.743589744
2006-10-16,734.27014218
2006-10-17,745.297674419
2006-10-18,739.704225352
2006-10-19,748.669642857
2006-10-20,756.923913043
2006-10-21,734.182539683
2006-10-22,740.351351351
2006-10-23,745.101190476
2006-10-24,757.895104895
2006-10-25,766.781045752
2006-10-26,779.622009569
2006-10-27,803.758139535
2006-10-28,807.88590604
2006-10-29,834.836734694
2006-10-30,829.87804878
2006-10-31,847.453488372
2006-11-01,863.3
2006-11-02,865.565022422
2006-11-03,873.376744186
2006-11-04,882.114427861
2006-11-05,841.01010101
2006-11-06,858.669950739
2006-11-07,854.502439024
2006-11-08,846.441860465
2006-11-09,833.623853211
2006-11-10,817.558685446
2006-11-11,796.873417722
2006-11-12,782.2
2006-11-13,797.056410256
2006-11-14,799.069518717
2006-11-15,766.564766839
2006-11-16,764.469879518
2006-11-17,750.743169399
2006-11-18,725.794736842
2006-11-19,733.138297872
2006-11-20,732.43718593
2006-11-21,705.6
2006-11-22,700.706185567
2006-11-23,699.784530387
2006-11-24,688.878787879
2006-11-25,665.918128655
2006-11-26,626.9125
2006-11-27,659.206349206
2006-11-28,650.432432432
2006-11-29,637.965909091
2006-11-30,594.854368932
2006-12-01,604.260273973
2006-12-02,601.865482234
2006-12-03,570.290322581
2006-12-04,590.808080808
2006-12-05,577.282722513
2006-12-06,600.673913043
2006-12-07,588.697560976
2006-12-08,580.221698113
2006-12-09,567.324675325
2006-12-10,565.252747253
2006-12-11,567.451612903
2006-12-12,575.574585635
2006-12-13,561.717647059
2006-12-14,505.354679803
2006-12-15,522.673160173
2006-12-16,502.16751269
2006-12-17,470.18
2006-12-18,497.117647059
2006-12-19,473.392344498
2006-12-20,489.285714286
2006-12-21,462.561643836
2006-12-22,462.26635514
2006-12-23,456.878531073
2006-12-24,432.051546392
2006-12-25,433.604651163
2006-12-26,456.846153846
2006-12-27,435.368556701
2006-12-28,405.773195876
2006-12-29,443.462365591
2006-12-30,439.196202532
2006-12-31,451.287878788
2007-01-01,440.798449612
2007-01-02,418.101485149
2007-01-03,431.707943925
2007-01-04,410.112149533
2007-01-05,439.318181818
2007-01-06,432.113888889
2007-01-07,421.970873786
2007-01-08,424.024390244
2007-01-09,388.172897196
2007-01-10,417.004739336
2007-01-11,412.241545894
2007-01-12,397.445026178
2007-01-13,372.379310345
2007-01-14,384.863636364
2007-01-15,392.456043956
2007-01-16,403.185365854
2007-01-17,397.392523364
2007-01-18,386.389908257
2007-01-19,391.5
2007-01-20,382.651282051
2007-01-21,369.672566372
2007-01-22,391.03255814
2007-01-23,367.373015873
2007-01-24,370.368534483
2007-01-25,361.6
2007-01-26,342.714285714
2007-01-27,371.596590909
2007-01-28,354.818181818
2007-01-29,372.690954774
2007-01-30,379.75862069
2007-01-31,379.864130435
2007-02-01,385.689189189
2007-02-02,397.852631579
2007-02-03,363.589473684
2007-02-04,349.018691589
2007-02-05,380.417840376
2007-02-06,370.762557078
2007-02-07,374.075221239
2007-02-08,384.878318584
2007-02-09,385.751072961
2007-02-10,375.340909091
2007-02-11,385.014851485
2007-02-12,403.507389163
2007-02-13,417.783854167
2007-02-14,428.097826087
2007-02-15,425.388157895
2007-02-16,384.02484472
2007-02-17,418.391089109
2007-02-18,394.504950495
2007-02-19,427.337378641
2007-02-20,423.744186047
2007-02-21,411.456018519
2007-02-22,413.198198198
2007-02-23,427.44279661
2007-02-24,417.102040816
2007-02-25,418.521052632
2007-02-26,439.196969697
2007-02-27,423.254504505
2007-02-28,439.596618357
2007-03-01,439.338983051
2007-03-02,437.053571429
2007-03-03,453.344827586
2007-03-04,455.530769231
2007-03-05,490.866359447
2007-03-06,457.018672199
2007-03-07,474.989711934
2007-03-08,457.805327869
2007-03-09,485.997816594
2007-03-10,455.041208791
2007-03-11,447.513636364
2007-03-12,476.019396552
2007-03-13,496.150224215
2007-03-14,491.112704918
2007-03-15,491.3
2007-03-16,498.061403509
2007-03-17,497.824884793
2007-03-18,475.828947368
2007-03-19,493.928899083
2007-03-20,508.330434783
2007-03-21,499.782608696
2007-03-22,511.105263158
2007-03-23,505.583690987
2007-03-24,499.03652968
2007-03-25,484.783018868
2007-03-26,507.627192982
2007-03-27,514.568965517
2007-03-28,510.204166667
2007-03-29,511.563829787
2007-03-30,520.855855856
2007-03-31,516.581560284
2007-04-01,495.36440678
2007-04-02,503.751131222
2007-04-03,508.59765625
2007-04-04,500.12992126
2007-04-05,491.653061224
2007-04-06,481.712765957
2007-04-07,514.227272727
2007-04-08,504.090909091
2007-04-09,520.648760331
2007-04-10,534.045454545
2007-04-11,531.910569106
2007-04-12,524.132780083
2007-04-13,552.477876106
2007-04-14,516.852071006
2007-04-15,523.076923077
2007-04-16,563.919148936
2007-04-17,557.653669725
2007-04-18,567.324200913
2007-04-19,570.950672646
2007-04-20,559.633640553
2007-04-21,559.808252427
2007-04-22,562.075630252
2007-04-23,578.977973568
2007-04-24,579.752136752
2007-04-25,595.827868852
2007-04-26,589.683406114
2007-04-27,595.930555556
2007-04-28,587.52970297
2007-04-29,579.941176471
2007-04-30,611.045918367
2007-05-01,589.02173913
2007-05-02,588.875598086
2007-05-03,603.128099174
2007-05-04,618.508064516
2007-05-05,603.695348837
2007-05-06,594.073076923
2007-05-07,615.237885463
2007-05-08,618.934210526
2007-05-09,610.638655462
2007-05-10,618.116803279
2007-05-11,634.257641921
2007-05-12,601.594736842
2007-05-13,607.790322581
2007-05-14,631.033039648
2007-05-15,627.882978723
2007-05-16,619.276595745
2007-05-17,642.454166667
2007-05-18,624.748888889
2007-05-19,627.0
2007-05-20,627.179245283
2007-05-21,640.985294118
2007-05-22,658.675977654
2007-05-23,644.212121212
2007-05-24,644.567164179
2007-05-25,656.368020305
2007-05-26,627.688953488
2007-05-27,611.176470588
2007-05-28,649.176165803
2007-05-29,652.663551402
2007-05-30,639.165816327
2007-05-31,650.252873563
2007-06-01,645.753424658
2007-06-02,642.241071429
2007-06-03,632.601449275
2007-06-04,653.105042017
2007-06-05,658.105263158
2007-06-06,644.490118577
2007-06-07,657.329218107
2007-06-08,659.409663866
2007-06-09,638.603960396
2007-06-10,651.859375
2007-06-11,676.379518072
2007-06-12,661.257874016
2007-06-13,662.838709677
2007-06-14,658.574596774
2007-06-15,676.285714286
2007-06-16,654.058823529
2007-06-17,665.317460317
2007-06-18,671.704166667
2007-06-19,689.130434783
2007-06-20,673.213675214
2007-06-21,688.21484375
2007-06-22,681.508264463
2007-06-23,672.18061674
2007-06-24,684.891129032
2007-06-25,692.547520661
2007-06-26,701.471193416
2007-06-27,693.205645161
2007-06-28,693.775720165
2007-06-29,711.775100402
2007-06-30,710.528248588
2007-07-01,701.537815126
2007-07-02,716.805907173
2007-07-03,719.413306452
2007-07-04,711.956692913
2007-07-05,723.695121951
2007-07-06,719.522821577
2007-07-07,722.611627907
2007-07-08,723.06640625
2007-07-09,729.207792208
2007-07-10,739.555555556
2007-07-11,726.489711934
2007-07-12,730.57751938
2007-07-13,755.487394958
2007-07-14,719.203045685
2007-07-15,717.952
2007-07-16,730.534042553
2007-07-17,737.018987342
2007-07-18,732.598039216
2007-07-19,730.205761317
2007-07-20,728.217647059
2007-07-21,720.097402597
2007-07-22,721.884615385
2007-07-23,735.185714286
2007-07-24,727.636554622
2007-07-25,729.869477912
2007-07-26,739.721276596
2007-07-27,734.592274678
2007-07-28,734.668367347
2007-07-29,740.318584071
2007-07-30,753.566964286
2007-07-31,753.099033816
2007-08-01,742.11003861
2007-08-02,743.591085271
2007-08-03,731.051851852
2007-08-04,738.777777778
2007-08-05,741.979020979
2007-08-06,737.556985294
2007-08-07,737.080223881
2007-08-08,738.534136546
2007-08-09,749.58302583
2007-08-10,743.862962963
2007-08-11,732.540909091
2007-08-12,726.576923077
2007-08-13,749.996268657
2007-08-14,744.967078189
2007-08-15,717.64527027
2007-08-16,747.654255319
2007-08-17,736.164893617
2007-08-18,735.268627451
2007-08-19,726.368794326
2007-08-20,739.518072289
2007-08-21,740.864963504
2007-08-22,731.201171875
2007-08-23,752.736641221
2007-08-24,754.435661765
2007-08-25,742.265560166
2007-08-26,723.197580645
2007-08-27,746.33744856
2007-08-28,731.633484163
2007-08-29,740.701550388
2007-08-30,766.311827957
2007-08-31,749.163135593
2007-09-01,745.18907563
2007-09-02,722.775641026
2007-09-03,736.786259542
2007-09-04,742.091703057
2007-09-05,745.962585034
2007-09-06,755.166666667
2007-09-07,754.916666667
2007-09-08,767.606818182
2007-09-09,736.516339869
2007-09-10,737.17578125
2007-09-11,749.7
2007-09-12,742.746621622
2007-09-13,744.207612457
2007-09-14,746.129824561
2007-09-15,720.236842105
2007-09-16,724.171779141
2007-09-17,754.357933579
2007-09-18,755.286738351
2007-09-19,750.240802676
2007-09-20,756.523972603
2007-09-21,758.642105263
2007-09-22,758.079497908
2007-09-23,738.22972973
2007-09-24,781.821576763
2007-09-25,751.57421875
2007-09-26,748.182692308
2007-09-27,766.818181818
2007-09-28,775.170498084
2007-09-29,769.280334728
2007-09-30,766.574074074
2007-10-01,780.775510204
2007-10-02,743.323353293
2007-10-03,769.965447154
2007-10-04,789.478431373
2007-10-05,771.200787402
2007-10-06,773.75862069
2007-10-07,749.867132867
2007-10-08,795.935483871
2007-10-09,780.501818182
2007-10-10,767.58778626
2007-10-11,779.23297491
2007-10-12,773.785992218
2007-10-13,741.529953917
2007-10-14,760.289855072
2007-10-15,756.450381679
2007-10-16,780.621428571
2007-10-17,769.966789668
2007-10-18,767.370517928
2007-10-19,758.5
2007-10-20,754.886792453
2007-10-21,763.939393939
2007-10-22,789.27443609
2007-10-23,785.78030303
2007-10-24,774.981549815
2007-10-25,779.453815261
2007-10-26,771.587755102
2007-10-27,756.155462185
2007-10-28,751.759124088
2007-10-29,771.391304348
2007-10-30,759.129166667
2007-10-31,785.887804878
2007-11-01,773.995798319
2007-11-02,782.506224066
2007-11-03,764.68115942
2007-11-04,741.12244898
2007-11-05,758.3930131
2007-11-06,763.442231076
2007-11-07,756.243801653
2007-11-08,742.489539749
2007-11-09,732.825301205
2007-11-10,724.427480916
2007-11-11,729.732283465
2007-11-12,762.146017699
2007-11-13,754.4
2007-11-14,750.135658915
2007-11-15,739.545833333
2007-11-16,734.92481203
2007-11-17,722.254752852
